minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
1353,0,32,0,0,15279,67774,372,68145,0
1301,2,32,0,0,15279,67774,372,68145,0
1201,5,31,2,2,13926,61665,392,62057,0
1101,18,30,5,5,12608,56152,438,56589,0
1001,30,30,12,12,10668,49303,589,49892,0
901,43,30,16,16,10515,48460,687,49147,0
801,62,30,20,20,10083,46198,810,47008,0
701,80,30,23,23,9274,42866,902,43768,0
601,110,30,24,24,9251,42753,943,43696,0
501,179,29,31,31,8457,40190,1129,41319,0
401,340,28,37,37,8207,39554,1294,40848,0
301,556,27,52,52,7371,36980,1831,38811,0
201,1015,27,59,59,6351,34114,2117,36231,0
101,2143,28,76,76,5353,30457,2919,33377,0
1,16305,28,105,105,3434,20640,5190,25829,0